ID,Age,Gender,Name,Birth,Race,Home City,Home State,Amount Spent,Estimated Income,Destination
1,80,Female,Customer 1,1971-03-20,Black,San Diego,California,5234.25,124700.34,Hawaii
2,79,Female,Customer 2,1965-07-05,Asian,Houston,Texas,1083.74,70833.33,Alaska
3,18,Female,Customer 3,1997-10-26,Hispanic,Denver,Colorado,8444.44,115347.92,Middle East & Africa
4,68,Male,Customer 4,1961-02-17,White,Denver,Colorado,8538.56,128371.49,South America
5,73,Male,Customer 5,1963-05-18,Asian,San Francisco,California,2564.67,47692.74,Europe
6,76,Female,Customer 6,1992-11-17,Asian,Las Vegas,Nevada,4925.65,73056.34,Middle East & Africa
7,58,Male,Customer 7,2002-10-26,Black,Portland,Oregon,4126.8,55863.29,Asia
8,53,Male,Customer 8,1956-10-16,Black,New Orleans,Louisiana,3321.38,73797.88,South America
9,43,Female,Customer 9,1997-11-10,Hispanic,Houston,Texas,5294.94,26335.15,Asia
10,39,Female,Customer 10,1956-12-04,Hispanic,Nashville,Tennessee,8939.54,33115.33,South America
11,77,Male,Customer 11,1979-08-19,Other,Boston,Massachusetts,8433.73,140592.95,Middle East & Africa
12,64,Female,Customer 12,1966-04-19,White,San Diego,California,7455.14,117321.33,Middle East & Africa
13,70,Male,Customer 13,1960-03-05,Hispanic,San Diego,California,3225.92,120716.5,Europe
14,55,Female,Customer 14,1981-05-05,Asian,Miami,Florida,3694.49,149654.65,Asia
15,25,Male,Customer 15,1967-10-08,Black,San Diego,California,2369.38,21834.95,Hawaii
16,52,Male,Customer 16,1989-06-12,Other,Seattle,Washington,2917.24,72418.26,Asia
17,66,Male,Customer 17,1954-02-14,Other,Los Angeles,California,7867.6,41207.89,Europe
18,69,Male,Customer 18,1971-06-05,Hispanic,Denver,Colorado,3896.06,44143.62,South America
19,23,Female,Customer 19,1987-04-16,White,New York,New York,5171.48,80741.77,Hawaii
20,68,Female,Customer 20,1961-05-07,Hispanic,San Francisco,California,3810.62,79412.08,Middle East & Africa
21,65,Male,Customer 21,1958-08-25,Asian,Atlanta,Georgia,3962.04,129224.77,Europe
22,60,Male,Customer 22,1997-01-20,Black,Dallas,Texas,9940.47,123569.57,Alaska
23,29,Male,Customer 23,1968-06-15,Other,San Diego,California,9028.56,33381.86,Alaska
24,23,Male,Customer 24,1953-03-15,Black,Phoenix,Arizona,5642.08,143664.66,Europe
25,75,Male,Customer 25,1962-10-09,White,Seattle,Washington,6550.07,113239.79,Europe
26,64,Female,Customer 26,1963-05-18,Other,Las Vegas,Nevada,7370.6,42569.56,Hawaii
27,34,Female,Customer 27,1979-12-06,Asian,Las Vegas,Nevada,3417.24,25470.48,South America
28,47,Male,Customer 28,1975-12-03,Black,Nashville,Tennessee,6384.47,100478.72,Alaska
29,36,Male,Customer 29,2005-02-23,Black,Miami,Florida,2669.64,39390.88,Europe
30,71,Female,Customer 30,1978-03-04,Other,Miami,Florida,8661.7,77403.19,Asia
31,47,Female,Customer 31,1979-12-11,White,New Orleans,Louisiana,6818.52,67913.08,Middle East & Africa
32,58,Male,Customer 32,1971-07-25,Hispanic,Miami,Florida,9600.54,95721.74,South America
33,36,Male,Customer 33,2000-01-20,Other,Seattle,Washington,3448.55,52674.92,Alaska
34,73,Female,Customer 34,1999-01-07,Black,Dallas,Texas,3176.2,120078.33,Hawaii
